Reference
Kruithof, A. A. (1940). Townsend’s ionization coefficients for neon, argon, krypton and xenon. Physica, 7(6), 519–540. https://doi.org/10.1016/S0031-8914(40)90043-X

Variables (Var,Unit,Rms,Max)
*********************************
E/p         V/cm/mmHg   n/a     n/a
a/E         1/V         n/a     n/a
a/E-rms     1/V         n/a     n/a
*********************************

Data
###################
T   273.15
###################
E/p     a/E         a/E-rms
=============================
5.0     4.8e-5      1.8e-5
5.5     6.7e-5      1.7e-5
6.0     9.3e-5      1.7e-5
7.0     1.61e-4     2.1e-5
8.0     2.59e-4     2.5e-5
9.0     3.84e-4     3.0e-5
10.0    5.76e-4     3.5e-5
11.0    8.05e-4     3.9e-5
12.0    1.075e-3    4.6e-5
14.0    1.71e-3     6.0e-5
16.0    2.40e-3     8.0e-5
18.0    3.11e-3     9.0e-5
20.0    3.83e-3     1.1e-4
22.0    4.54e-3     1.2e-4
25.0    5.61e-3     1.4e-4
28.0    6.72e-3     1.5e-4
32.0    8.16e-3     1.7e-4
36.0    9.39e-3     1.8e-4
40.0    1.076e-2    1.9e-4
45.0    1.220e-2    2.1e-4
50.0    1.343e-2    2.1e-4
60.0    1.546e-2    2.2e-4
70.0    1.695e-2    2.2e-4
80.0    1.805e-2    2.2e-4
90.0    1.894e-2    2.2e-4
100.0   1.977e-2    2.1e-4
120.0   2.079e-2    2.1e-4
140.0   2.142e-2    2.0e-4
160.0   2.177e-2    1.9e-4
180.0   2.204e-2    1.8e-4
200.0   2.213e-2    1.7e-4
240.0   2.199e-2    1.6e-4
280.0   2.154e-2    1.5e-4
320.0   2.097e-2    1.3e-4
360.0   2.036e-2    1.2e-4
400.0   1.975e-2    1.2e-4
450.0   1.891e-2    1.1e-4
500.0   1.814e-2    1.0e-4
600.0   1.672e-2    9.0e-5
700.0   1.540e-2    8.0e-5
800.0   1.423e-2    8.0e-5
900.0   1.320e-2    8.0e-5
1000.0  1.228e-2    8.0e-5
1200.0  1.074e-2    8.0e-5
1400.0  9.52e-3     8.0e-5
1600.0  8.54e-3     9.0e-5
=============================
