Reference
Robertson, A. (1977). Drift Velocities of Low Energy Electrons in Argon at 293 and 90 K. Australian Journal of Physics, 30(1), 39. https://doi.org/10.1071/ph770039

Variables (Var,Unit,Rms,Max)
*********************************
E/N     Td          n/a     n/a
W       cm/s        n/a     n/a
W-max   %           n/a     n/a
*********************************

Data
###################
T   293.0
###################
E/N     W       W-max
=============================
1.0     2.95e5    2
0.9     2.88e5    2
0.8     2.80e5    2
0.75    2.76e5    2
0.70    2.73e5    2
0.65    2.68e5    2
0.60    2.63e5    2
0.55    2.58e5    2
0.50    2.52e5    2
0.45    2.46e5    2
0.40    2.39e5    2
0.35    2.31e5    2
0.30    2.23e5    2
0.25    2.13e5    2
0.20    2.00e5    2
0.18    1.947e5   2
0.15    1.853e5   2
0.12    1.741e5   2
0.10    1.656e5   2
0.08    1.557e5   2
0.05    1.370e5   3
0.03    1.20e5    3
0.02    1.08e5    3
0.01    0.94e5    3
=============================

Data
###################
T   89.6
###################
E/N     W       W-max
=============================
0.70    2.74e5    2
0.65    2.70e5    2
0.60    2.65e5    2
0.55    2.60e5    2
0.50    2.54e5    2
0.45    2.48e5    2
0.40    2.41e5    2
0.35    2.33e5    2
0.30    2.24e5    2
0.25    2.14e5    2
0.20    2.02e5    2
0.18    1.959e5   2
0.15    1.868e5   2
0.12    1.756e5   2
0.10    1.668e5   2
0.08    1.569e5   1.875
0.06    1.450e5   1.75
0.05    1.382e5   1.625
0.04    1.305e5   1.5
0.03    1.218e5   1.375
0.02    1.107e5   1.25
0.015   1.045e5   1.125
0.01    0.961e5   1
0.008   0.906e5   2
0.006   0.810e5   3
0.005   0.710e5   4
0.004   0.520e5   4
0.0035  0.401e5   4
0.003   0.286e5   4
0.0025  0.204e5   4
0.002   0.149e5   4
=============================
